wdid,name,wdLabel,gender,dob,dobPrecision,source,pid,position,psid
Q491263,Anders Samuelsen,Anders Samuelsen,male,1967-08-01T00:00:00Z,11,,Q6866144,Minister of Foreign Affairs,Q491263-170d2ea3-4402-da2c-1361-f31b436f35e7
Q3560841,Carl Holst,Carl Holst,male,1970-04-29T00:00:00Z,11,,Q11991832,Minister for Nordic Co-operation,Q3560841-c5e4b286-43a3-5b06-8bb3-324e4c1d82ef
Q531054,Christine Antorini,Christine Antorini,female,1965-05-23T00:00:00Z,11,,Q5340905,Minister of Education,Q531054-99a10404-4f56-920c-25b9-91037033bf69
Q2978598,Claus Hjort Frederiksen,Claus Hjort Frederiksen,male,1947-09-04T00:00:00Z,11,,Q1815344,Defence Minister of Denmark,Q2978598-83772366-45c5-f2b1-2936-136c9e15492f
Q12309819,Ellen Trane Nørby,Ellen Trane Nørby,female,1980-02-01T00:00:00Z,11,,Q18913275,Minister for Health,Q12309819-b3faaa62-4787-4afd-5009-e4d652d0dc70
Q1799046,Jeppe Kofod,Jeppe Kofod,male,1974-03-14T00:00:00Z,11,,Q6866144,Minister of Foreign Affairs,Q1799046-5393473B-C23E-49CA-B1F9-9B8E05E9F06A
Q20175887,Kaare Dybvad Bek,Kaare Dybvad Bek,male,1984-08-05T00:00:00Z,11,,Q12304055,Danish Minister for Urban Development,Q20175887-40efac19-44f4-a26a-a861-1ecf81a4de3c
Q3042869,Karen Ellemann,Karen Ellemann,female,1969-08-26T00:00:00Z,11,,Q27924167,Danish Minister for Gender Equality,Q3042869-b5e02d88-4bcc-bf5d-81af-6954dda6e42d
Q3042869,Karen Ellemann,Karen Ellemann,female,1969-08-26T00:00:00Z,11,,Q11991832,Minister for Nordic Co-operation,Q3042869-0e989b02-4ed6-252f-f5f2-dcd5f7d5be5f
Q3110095,Kristian Jensen,Kristian Jensen,male,1971-05-21T00:00:00Z,11,,Q5449541,Finance Minister of Denmark,Q3110095-874ecd96-4120-19ba-1148-9295b21ec81a
Q3110095,Kristian Jensen,Kristian Jensen,male,1971-05-21T00:00:00Z,11,,Q6866144,Minister of Foreign Affairs,Q3110095-df0ec9a6-42da-5e11-1a64-dd1ad1085aac
Q12325752,Mai Mercado,Mai Mercado,female,1980-08-20T00:00:00Z,11,,Q12337702,Minister for Health,Q12325752-2086dec2-4b7c-cfe6-865a-3a88ac4439a8
Q11989087,Merete Riisager,Merete Riisager,female,1976-03-01T00:00:00Z,11,,Q5340905,Minister of Education,Q11989087-897c36ad-4613-540f-3389-83a1e44231f9
Q11989208,Mette Bock,Mette Bock,female,1957-07-26T00:00:00Z,11,,Q6865812,Minister for Ecclesiastical Affairs of Denmark,Q11989208-7d47d37c-46a4-4e3c-0846-654ac82f06dc
Q11989208,Mette Bock,Mette Bock,female,1957-07-26T00:00:00Z,11,,Q27923963,Minister of Culture of Denmark,Q11989208-6da32bd0-4cee-8f4e-4fb3-642550fee33a
Q5015,Mette Frederiksen,Mette Frederiksen,female,1977-11-19T00:00:00Z,11,,Q795477,Prime Minister of Denmark,Q5015-fc6b798f-4b79-d86f-ce7d-e9e6a1e91929
Q12327462,Mogens Jensen,Mogens Jensen,male,1963-10-31T00:00:00Z,11,,Q11991832,Minister for Nordic Co-operation,Q12327462-c93d861c-43c1-0d23-c7c3-c6f0cbc136fe
Q645613,Nick Hækkerup,Nick Hækkerup,male,1968-04-03T00:00:00Z,11,,Q6317024,Justice Minister of Denmark,Q645613-0d946fc2-4bc0-02e0-c2a1-76a9ecf1bd07
Q952472,Simon Emil Ammitzbøll,Simon Emil Ammitzbøll,male,1977-10-20T00:00:00Z,11,,Q27990812,Minister for Economic Affairs,Q952472-78eb93a2-4387-99ee-bd22-73c2b354935f
Q952472,Simon Emil Ammitzbøll,Simon Emil Ammitzbøll,male,1977-10-20T00:00:00Z,11,,Q18913269,Minister of the Interior,Q952472-90c97669-4a6b-ad53-30d6-bfda2ab6d61c
Q12336452,Sophie Løhde,Sophie Løhde,female,1983-09-11T00:00:00Z,11,,Q27940846,Minister for Public Innovation,Q12336452-5bc3beef-4ba4-309e-ca28-e2d6cd3663f7
Q12339343,Thyra Frank,Thyra Frank,female,1952-05-10T00:00:00Z,11,,Q27923951,Danish Minister for Senior Citizens,Q12339343-47142292-4d7e-189a-6d0a-4bd1aca62c75
Q7819162,Tommy Ahlers,Tommy Ahlers,male,1975-11-18T00:00:00Z,11,,Q12312037,Education and Research Minister,Q7819162-bb37d469-4bab-02ad-226f-5738ebbe71b2
Q3082669,Ulla Tørnæs,Ulla Tørnæs,female,1962-09-04T00:00:00Z,11,,Q12312037,Education and Research Minister,Q3082669-2c3cfa3b-47ee-3d74-31d3-8ee425e82dae
